,load_kW,pv_kW,wind_kW,ch_kW,dis_kW,grid_import_kW,soc_kWh,spill_kW,ren_potential_kW,ren_used_kW,battery_net_kW
2019-01-08 06:00:00,123.9560166260172,0.0,404.33490963,0.0,0.0,0.0,0.0,280.3789,404.33490963,123.95600963000004,0.0
2019-01-08 07:00:00,128.82857229141862,0.0,452.04765237,0.0,0.0,0.0,0.0,323.21908,452.04765237,128.82857236999996,0.0
2019-01-08 08:00:00,119.96415270880158,0.5143458646,480.79763838,0.0,0.0,0.0,0.0,361.34783,481.3119842446,119.96415424460002,0.0
2019-01-08 09:00:00,116.96134220438907,21.156602604899998,475.90402374,0.0,0.0,0.0,0.0,380.09929,497.0606263449,116.96133634490002,0.0
2019-01-08 10:00:00,104.4563495025765,54.2375354836,457.55296884,0.0,0.0,0.0,0.0,407.33416,511.7905043236,104.45634432359998,0.0
2019-01-08 11:00:00,105.3884339654205,46.5365038228,489.361464,0.0,0.0,0.0,0.0,430.50954,535.8979678228,105.38842782279994,0.0
2019-01-08 12:00:00,109.78112107431072,29.865091532599997,527.89867929,0.0,0.0,0.0,0.0,447.98265,557.7637708226,109.78112082260003,0.0
2019-01-08 13:00:00,115.67154688285939,6.1131657577,552.36675249,0.0,0.0,0.0,0.0,442.80837,558.4799182477,115.67154824769995,0.0
2019-01-08 14:00:00,118.76965774394593,1.7766166791,570.1061055600001,0.0,0.0,0.0,0.0,453.11307,571.8827222391001,118.76965223910008,0.0
2019-01-08 15:00:00,133.2167984584284,0.0,580.50503667,0.0,0.0,0.0,0.0,447.28824,580.50503667,133.21679667,0.0
